course_title,course_organization,course_certificate_type,course_rating,course_difficulty
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,Intermediate
Dog Emotion and Cognition,Duke University,COURSE,4.6,Mixed
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner
Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner
Drug Discovery,University of California San Diego,COURSE,4.6,Beginner
Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner
EMT Foundations,University of Colorado System,COURSE,4.8,Beginner
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate
Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.7,Mixed
Economics of Money and Banking,Columbia University,COURSE,4.9,Mixed
Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate
Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed
Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5,Beginner
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate
Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner
Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner
"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner
Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner
Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner
English Composition I,Duke University,COURSE,4.6,Beginner
English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner
English for Career Development,University of Pennsylvania,COURSE,4.8,Mixed
English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed
English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate
"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner
Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate
Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed
Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner
Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed
Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed
Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner
Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner
Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate
Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate
Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate
Essentials of Global Health,Yale University,COURSE,4.8,Mixed
Estadística y probabilidad,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner
Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner
"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner
Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner
Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner
Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate
Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner
Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate
Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate
Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner
Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner
Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner
Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner
FinTech Law and Policy,Duke University,COURSE,4.8,Beginner
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner
Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner
Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate
Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner
Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner
Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed
Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate
Financial Markets,Yale University,COURSE,4.8,Beginner
Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner
Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate
Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner
Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed
Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate
Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner
First Step Korean,Yonsei University,COURSE,4.9,Beginner
Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed
Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed
Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate
Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner
Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed
Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner
Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner
Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate
Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner
Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner
From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner
From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner
Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate
Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate
